
4FGLName,GLON,GLAT,4FGLSig,4FGL,4FGL Class
4FGL J1712.5−4642,341.59,−4.39,3.4,4.2,spp
4FGL J1714.8−3849,348.25,−0.13,5.3,3.6,
4FGL J1714.9−3324,352.65,3.01,4.4,3.4,
4FGL J1718.0−3726,349.72,0.16,2.0,3.5,snr
4FGL J1719.0−4221,345.82,−2.83,4.1,3.4,
4FGL J1719.4−2916,356.60,4.61,3.5,3.9,
4FGL J1720.1−4358,344.60,−3.90,1.6,3.7,
4FGL J1720.6−3706,350.30,−0.07,4.4,3.4,unk
4FGL J1721.7−3917,348.62,−1.49,3.5,4.6,
4FGL J1723.1−2859,357.29,4.09,2.7,3.0,
4FGL J1724.5−3008,356.51,3.20,4.5,4.3,
4FGL J1729.1−3503,352.96,−0.33,3.6,3.1,
4FGL J1729.7−4242,346.64,−4.65,3.8,3.6,
4FGL J1729.9−4148,347.41,−4.18,1.4,3.2,
4FGL J1730.1−3422,353.65,−0.14,3.5,3.8,unk
4FGL J1732.7−2559,0.98,3.98,3.0,3.7,
4FGL J1732.8−3725,351.40,−2.26,2.0,3.0,unk
4FGL J1734.5−2818,359.25,2.39,4.6,5.8,
4FGL J1736.1−3422,354.31,−1.17,5.7,4.1,
4FGL J1736.3−2929,358.46,1.42,2.6,3.8,
4FGL J1737.6−2350,3.39,4.19,2.3,3.0,
4FGL J1738.1−2453,2.56,3.54,7.0,6.2,
4FGL J1739.2−2717,0.66,2.05,3.2,4.2,
4FGL J1739.3−2531,2.17,2.98,4.5,4.3,
4FGL J1741.6−3917e,350.73,−4.72,0.3,13.4,
4FGL J1741.6−2730,0.76,1.49,3.8,3.4,
4FGL J1742.8−2246,4.94,3.74,4.2,6.7,
4FGL J1743.4−2406,3.87,2.93,2.9,4.0,
4FGL J1743.9−3539,354.07,−3.21,3.7,4.9,
4FGL J1745.6−2859,359.95,−0.04,15.8,10.3,spp
4FGL J1745.8−3028e,358.71,−0.84,1.2,7.6,
4FGL J1746.2−3342,355.99,−2.59,2.1,3.3,spp
4FGL J1746.5−2019,7.47,4.30,2.8,5.1,
4FGL J1747.0−3505,354.89,−3.46,5.8,7.9,
4FGL J1747.7−2141,6.45,3.34,2.2,4.8,
4FGL J1750.6−1906,9.02,4.08,2.7,4.4,
4FGL J1752.3−2914,0.48,−1.41,2.8,3.4,
4FGL J1753.8-2538,3.77,0.13,8.1,9.3,
4FGL J1754.6−2933,0.48,−2.01,5.1,3.7,
4FGL J1757.4−3125,359.16,−3.46,3.9,5.1,
4FGL J1758.3−1920,9.74,2.39,3.5,4.7,
4FGL J1758.6−2404,5.66,−0.04,2.5,3.8,unk
4FGL J1759.7−2141,7.85,0.94,3.7,3.4,unk
4FGL J1801.3−2326e,6.53,−0.25,9.1,5.0,SNR
4FGL J1803.1−2724,3.26,−2.56,3.5,4.2,
4FGL J1803.7−3207,359.21,−4.97,4.2,3.4,
4FGL J1803.8−2908,1.83,−3.54,6.2,5.2,
4FGL J1804.9−1745,11.89,1.82,2.8,3.3,
4FGL J1806.2−1347,15.50,3.48,1.8,4.0,
4FGL J1806.9−2824,2.80,−3.79,1.0,3.8,
4FGL J1808.1−1234,16.80,3.65,4.1,5.3,
4FGL J1808.2−1055,18.26,4.44,4.1,5.7,
4FGL J1809.2−2726,3.90,−3.76,2.4,3.5,
4FGL J1811.5−1844,11.79,−0.04,4.9,5.4,spp
4FGL J1812.2−0856,20.48,4.50,5.0,6.4,
4FGL J1813.1−1737e,12.95,0.17,5.9,8.2,spp
4FGL J1813.2-1128,18.35,3.10,3.79,3.11,
4FGL J1813.7−1152,18.08,2.79,2.9,3.3,
4FGL J1814.1−1710,13.45,0.18,1.9,3.9,spp
4FGL J1814.2−1012,19.59,3.48,3.7,6.5,
4FGL J1814.6−2537,6.09,−3.96,3.6,3.2,
4FGL J1815.8−1416,16.21,1.19,3.5,4.3,
4FGL J1817.9−1135,18.80,2.02,3.5,4.8,
4FGL J1818.6−1533,15.39,−0.00,6.9,8.3,
4FGL J1819.9−1300,17.79,0.93,2.1,4.4,
4FGL J1820.3−1009,20.35,2.18,2.6,4.8,unk
4FGL J1820.4−1609,15.07,−0.66,0.8,4.8,unk
4FGL J1821.1−1422,16.72,0.03,1.5,5.7,spp
4FGL J1821.4−1516,15.97,−0.46,4.7,4.6,spp
4FGL J1822.8−1118,19.62,1.10,2.0,3.7,
4FGL J1823.3−1340,17.60,−0.11,7.1,6.7,
4FGL J1826.2−1450,16.88,−1.29,8.7,21.9,HMB
4FGL J1826.5−1202,19.40,−0.06,4.8,3.6,
